Movie title,Url,Position,Duration,Genre,Rating,RatingCount
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,,PT2H22M,Drama,9.3,3089499
The Godfather,https://www.imdb.com/title/tt0068646/,,PT2H55M,"Crime, Drama",9.2,2154072
The Dark Knight,https://www.imdb.com/title/tt0468569/,,PT2H32M,"Action, Crime, Drama",9.1,3064863
The Godfather Part II,https://www.imdb.com/title/tt0071562/,,PT3H22M,"Crime, Drama",9.0,1448287
12 Angry Men,https://www.imdb.com/title/tt0050083/,,PT1H36M,"Crime, Drama",9.0,945089
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,,PT3H21M,"Adventure, Drama, Fantasy",9.0,2102376
Schindler&apos;s List,https://www.imdb.com/title/tt0108052/,,PT3H15M,"Biography, Drama, History",9.0,1542146
Pulp Fiction,https://www.imdb.com/title/tt0110912/,,PT2H34M,"Crime, Drama",8.8,2363714
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,,PT2H58M,"Adventure, Drama, Fantasy",8.9,2135234
"Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,,PT2H41M,"Adventure, Drama, Western",8.8,865984
Forrest Gump,https://www.imdb.com/title/tt0109830/,,PT2H22M,"Drama, Romance",8.8,2412778
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,,PT2H59M,"Adventure, Drama, Fantasy",8.8,1896492
Fight Club,https://www.imdb.com/title/tt0137523/,,PT2H19M,"Crime, Drama, Thriller",8.8,2506424
Inception,https://www.imdb.com/title/tt1375666/,,PT2H28M,"Action, Adventure, Sci-Fi",8.8,2722474
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,,PT2H4M,"Action, Adventure, Fantasy",8.7,1462075
The Matrix,https://www.imdb.com/title/tt0133093/,,PT2H16M,"Action, Sci-Fi",8.7,2181724
GoodFellas,https://www.imdb.com/title/tt0099685/,,PT2H25M,"Biography, Crime, Drama",8.7,1345038
